#  RDEF xfoil_parameters.def                       
#  alpha =  16.0000
#  Mach  =   0.2000
#  Reyn  =  4000000
#  Ncrit =   9.0000
#
#    x           cf
   0.467809E-01  0.398204E-03
   0.398340E-01  0.988867E-03
   0.338308E-01  0.162362E-02
   0.286378E-01  0.255904E-02
   0.241306E-01  0.357968E-02
   0.202029E-01  0.497173E-02
   0.167666E-01  0.660510E-02
   0.137530E-01  0.866946E-02
   0.111083E-01  0.112145E-01
   0.879156E-02  0.142637E-01
   0.677155E-02  0.180940E-01
   0.503136E-02  0.223572E-01
   0.355855E-02  0.275628E-01
   0.234691E-02  0.326640E-01
   0.138886E-02  0.376778E-01
   0.686104E-03  0.420699E-01
   0.239128E-03  0.431431E-01
   0.261695E-04  0.438864E-01
   0.261695E-04  0.420057E-01
   0.239128E-03  0.380398E-01
   0.686104E-03  0.322892E-01
   0.138886E-02  0.224449E-01
   0.234691E-02  0.130354E-01
   0.355855E-02  0.332384E-02
   0.503136E-02 -0.196218E-02
   0.677155E-02 -0.200853E-02
   0.879156E-02 -0.621274E-03
   0.111083E-01  0.144968E-01
   0.137530E-01  0.263898E-01
   0.167666E-01  0.283595E-01
   0.202029E-01  0.260717E-01
   0.241306E-01  0.229525E-01
   0.286378E-01  0.199005E-01
   0.338308E-01  0.172434E-01
   0.398340E-01  0.149710E-01
   0.467809E-01  0.130744E-01
   0.547964E-01  0.115094E-01
   0.639676E-01  0.102204E-01
   0.743122E-01  0.916457E-02
   0.857614E-01  0.829912E-02
   0.981746E-01  0.758476E-02
   0.111376      0.699040E-02
   0.125196      0.648736E-02
   0.139490      0.605632E-02
   0.154149      0.568058E-02
   0.169091      0.534853E-02
   0.184260      0.505156E-02
   0.199611      0.478281E-02
   0.215116      0.453712E-02
   0.230749      0.431097E-02
   0.246492      0.410125E-02
   0.262332      0.390547E-02
   0.278256      0.372171E-02
   0.294255      0.354858E-02
   0.310320      0.338466E-02
   0.326445      0.322885E-02
   0.342624      0.308025E-02
   0.358851      0.293804E-02
   0.375123      0.280156E-02
   0.391434      0.267018E-02
   0.407782      0.254330E-02
   0.424163      0.242040E-02
   0.440575      0.230106E-02
   0.457014      0.218485E-02
   0.473479      0.207138E-02
   0.489967      0.196026E-02
   0.506476      0.185119E-02
   0.523004      0.174386E-02
   0.539550      0.163798E-02
   0.556111      0.153335E-02
   0.572687      0.142982E-02
   0.589274      0.132724E-02
   0.605873      0.122558E-02
   0.622482      0.112487E-02
   0.639098      0.102528E-02
   0.655722      0.927043E-03
   0.672351      0.830535E-03
   0.688984      0.736253E-03
   0.705621      0.644768E-03
   0.722259      0.556728E-03
   0.738898      0.472835E-03
   0.755536      0.393737E-03
   0.772172      0.319988E-03
   0.788806      0.251942E-03
   0.805434      0.189632E-03
   0.822056      0.132649E-03
   0.838669      0.800497E-04
   0.855268      0.296821E-04
   0.871844      0.290495E-05
   0.888382      0.128716E-05
   0.904847      0.175585E-06
   0.921170     -0.568200E-06
   0.937210     -0.104642E-05
   0.952711     -0.133592E-05
   0.967266     -0.149665E-05
   0.980385     -0.157599E-05
   0.991697     -0.160865E-05
    1.00000     -0.161737E-05
    1.00010       0.00000    
    1.00848       0.00000    
    1.01803       0.00000    
    1.02891       0.00000    
    1.04129       0.00000    
    1.05540       0.00000    
    1.07146       0.00000    
    1.08975       0.00000    
    1.11058       0.00000    
    1.13430       0.00000    
    1.16130       0.00000    
    1.19204       0.00000    
    1.22703       0.00000    
    1.26686       0.00000    
    1.31219       0.00000    
    1.36379       0.00000    
    1.42251       0.00000    
    1.48933       0.00000    
    1.56537       0.00000    
    1.65188       0.00000    
    1.75032       0.00000    
    1.86231       0.00000    
    1.98973       0.00000    

   0.547964E-01  0.904939E-05
   0.639676E-01  0.329397E-03
   0.743122E-01  0.572359E-03
   0.857614E-01  0.738372E-03
   0.981746E-01  0.859274E-03
   0.111376      0.934287E-03
   0.125196      0.985327E-03
   0.139490      0.101309E-02
   0.154149      0.102786E-02
   0.169091      0.103188E-02
   0.184260      0.102914E-02
