#      x          Cp  
     1.00000   -0.00021
     0.99170   -0.00254
     0.98038   -0.00565
     0.96727   -0.00920
     0.95271   -0.01305
     0.93721   -0.01700
     0.92117   -0.02079
     0.90485   -0.02412
     0.88838   -0.02644
     0.87184   -0.02675
     0.85527   -0.02623
     0.83867   -0.03490
     0.82206   -0.04676
     0.80543   -0.06133
     0.78881   -0.07849
     0.77217   -0.09809
     0.75554   -0.11993
     0.73890   -0.14383
     0.72226   -0.16957
     0.70562   -0.19695
     0.68898   -0.22578
     0.67235   -0.25589
     0.65572   -0.28712
     0.63910   -0.31936
     0.62248   -0.35253
     0.60587   -0.38656
     0.58927   -0.42144
     0.57269   -0.45717
     0.55611   -0.49376
     0.53955   -0.53126
     0.52300   -0.56975
     0.50648   -0.60929
     0.48997   -0.64999
     0.47348   -0.69194
     0.45701   -0.73529
     0.44057   -0.78015
     0.42416   -0.82670
     0.40778   -0.87509
     0.39143   -0.92553
     0.37512   -0.97821
     0.35885   -1.03340
     0.34262   -1.09137
     0.32645   -1.15243
     0.31032   -1.21696
     0.29426   -1.28536
     0.27826   -1.35815
     0.26233   -1.43592
     0.24649   -1.51937
     0.23075   -1.60932
     0.21512   -1.70684
     0.19961   -1.81317
     0.18426   -1.92979
     0.16909   -2.05862
     0.15415   -2.20200
     0.13949   -2.36268
     0.12520   -2.54395
     0.11138   -2.74967
     0.09817   -2.98354
     0.08576   -3.24939
     0.07431   -3.54955
     0.06397   -3.88533
     0.05480   -4.25660
     0.04678   -4.66239
     0.03983   -5.10334
     0.03383   -5.57994
     0.02864   -6.09181
     0.02413   -6.64539
     0.02020   -7.23319
     0.01677   -7.86028
     0.01375   -8.51209
     0.01111   -9.25984
     0.00879  -10.74760
     0.00677  -11.90269
     0.00503  -12.17416
     0.00356  -12.59979
     0.00235  -13.14327
     0.00139  -13.45640
     0.00069  -13.37913
     0.00024  -12.78968
     0.00003  -11.87701
     0.00003  -10.69882
     0.00024   -9.31960
     0.00069   -7.81446
     0.00139   -6.23485
     0.00235   -4.79136
     0.00356   -3.53257
     0.00503   -2.47899
     0.00677   -1.63375
     0.00879   -0.96005
     0.01111   -0.43676
     0.01375   -0.03000
     0.01677    0.28133
     0.02020    0.51832
     0.02413    0.69484
     0.02864    0.82363
     0.03383    0.91296
     0.03983    0.97038
     0.04678    1.00116
     0.05480    1.01020
     0.06397    1.00176
     0.07431    0.98003
     0.08576    0.94897
     0.09817    0.91220
     0.11138    0.87261
     0.12520    0.83232
     0.13949    0.79267
     0.15415    0.75447
     0.16909    0.71813
     0.18426    0.68383
     0.19961    0.65160
     0.21512    0.62139
     0.23075    0.59311
     0.24649    0.56663
     0.26233    0.54185
     0.27826    0.51864
     0.29426    0.49688
     0.31032    0.47645
     0.32645    0.45725
     0.34262    0.43918
     0.35885    0.42215
     0.37512    0.40607
     0.39143    0.39086
     0.40778    0.37645
     0.42416    0.36278
     0.44057    0.34977
     0.45701    0.33738
     0.47348    0.32555
     0.48997    0.31423
     0.50648    0.30338
     0.52300    0.29294
     0.53955    0.28290
     0.55611    0.27320
     0.57269    0.26381
     0.58927    0.25471
     0.60587    0.24586
     0.62248    0.23724
     0.63910    0.22882
     0.65572    0.22058
     0.67235    0.21250
     0.68898    0.20454
     0.70562    0.19670
     0.72226    0.18896
     0.73890    0.18130
     0.75554    0.17369
     0.77217    0.16612
     0.78881    0.15857
     0.80543    0.15100
     0.82206    0.14343
     0.83867    0.13578
     0.85527    0.12805
     0.87184    0.12018
     0.88838    0.11214
     0.90485    0.10382
     0.92117    0.09515
     0.93721    0.08603
     0.95271    0.07632
     0.96727    0.06611
     0.98038    0.05430
     0.99170    0.04653
     1.00000   -0.00021
